title,rating,date,description,reviewUrl,isVerified,isReviewInIndia,customerName,productSize
Useless,1.0,7 August 2024,Product is good but useless..,https://www.amazon.in/gp/customer-reviews/R3ADQJ1AASSFTE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Shanta ,
White Fungus in Comb,1.0,3 August 2024,"I purchased this wooden comb hoping for a natural and durable product, but within a few weeks, it developed a white rot or fungus, making it unusable and unsanitary. Very disappointed with the quality.",https://www.amazon.in/gp/customer-reviews/R1I4BVA0AQ8ET8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Mamta,
poor quality,1.0,21 July 2024,It lacked the meaning of a wooden Comb. The material felt very light like it was made of cheap quality good. Not worth the money.,https://www.amazon.in/gp/customer-reviews/R24JYWGQ6P04S4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Aravind,
Over hyped and useless,1.0,15 July 2024,Didn’t like it at all. It pains to de-tangle the hair..  not worth the type at all..,https://www.amazon.in/gp/customer-reviews/R1GJP0LHMEC83P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Amazon Customer,
The Threads are very sharp,1.0,16 June 2024,Overall the product is overpriced and the threads are very much sharpshould imrpove product quality,https://www.amazon.in/gp/customer-reviews/RTA9ZUN1YKMV6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Vishal,
Not usable,1.0,26 April 2024,"The edges of the comb are very sharp and it doesn't feel like a comb. I don't know how to describe this but while coming my hair, the hair does not go through between the teeth of the comb so it's not even coming my hair .. it does not have space between the each teeth. Money wasted",https://www.amazon.in/gp/customer-reviews/R39G6CXX1YORKN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,False,True,Iram Sanego,
Waste of money,1.0,14 March 2024,"In just a week's time, it fell down from the dressing table which is hardly 1.5 feet and broken into 2 pieces.",https://www.amazon.in/gp/customer-reviews/R2AZDQPYA4L5OY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,CHARLES R SAKETI,
Not quality product,1.0,1 March 2024,,https://www.amazon.in/gp/customer-reviews/R3HY7A60M9LB0L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Placeholder,
It was damaged  piece,1.0,11 January 2024,"It was very delicate , and I got damaged piece",https://www.amazon.in/gp/customer-reviews/R3FZY1FZHKELR2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Deepu,
Don't buy,1.0,19 December 2023,Don't buy this product it doesn't lasted even a week with in 4 days the comb broke,https://www.amazon.in/gp/customer-reviews/R2J5GK7KLV0DMA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Shaik ,
Quality is bad,1.0,18 December 2023,,https://www.amazon.in/gp/customer-reviews/R3HVOE7U9WW2V1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,The comb is broken ,
Not that good,1.0,8 September 2023,"Even a plastic wide tooth hair comb will do the same , I don't see any difference in my hair fall or breakage due to this comb and it's been 3 months since now.",https://www.amazon.in/gp/customer-reviews/R2T8LT2VMRMV9M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Pratiksha c.,
My hairfall has increased because of this,1.0,25 March 2023,The comb top portion is coming off as well. Hairfall seems to have increased too. Plastic combs are better i guess,https://www.amazon.in/gp/customer-reviews/R2EP1P72HWFAK5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Yash Kumar,
"Fake , only for decoration, tooths are not well finished",1.0,16 February 2022,"Tooth does not have smooth finish, so hair keep getting struck and falling. Design does not match with what is shown, even wide tooth is like normal fine tooth plastic comb this makes it even worse. No return and exchange policy makes you suffer silently.explore better options before purchasing",https://www.amazon.in/gp/customer-reviews/R7DI0E0D1K4DR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,False,True,Kindle Customer,
Terrible Cheating,1.0,10 December 2021,"The design of the comb and the thickness of its teeth is such that it is not useful for human hair.You may use it for animal hair.I have owned wooden combs before and I have to tell you this is not how a comb is supposed to be.They are misusing this entire organic and natural care brand to cheat the customers.All the money is wasted on their packing and fancy advertising leaving very little for a quality product.When I tried returning the product on the same day, they refused to take it back.200 Rs is a huge amount for this useless toy.Don't go for it.I guess I will have to donate this product to a horse stable, if I can find any.",https://www.amazon.in/gp/customer-reviews/R1GYSY8MQWKAAW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,False,True,Kindle Customer,
Didn't meet up to the expectation,2.0,16 February 2025,"Bought this come with loads of expectations, Bbut seems the quality of the wood used is poor  , comb tooths are very rough and there are wood chips protruding from the tooth of the comb  that gets tangled with the hair and leaves it further damaged . Probably as advertised the comb has been soaked in oil for a longer time but makers shld concentrate on the quality of the product promised.",https://www.amazon.in/gp/customer-reviews/R2OFMYUBFVTHHE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Sri Vidhya S,
Strictly average,2.0,20 January 2025,Ok types,https://www.amazon.in/gp/customer-reviews/R3TOUDVYZO82DJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Shikha Sharma,
The teeths are not properly aligned.,2.0,23 November 2024,The teeths are not properly aligned and Comb is bigger than what it looks in the image.,https://www.amazon.in/gp/customer-reviews/ROXXXSNB3DKE3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Nitin A.,
I don't know will it work or not,2.0,7 November 2024,Today is 1 day using this and i don't know will it work or not . Hoping for good result,https://www.amazon.in/gp/customer-reviews/RLH19CB4Z9GAR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Sneha Y.,
Wooden comb,2.0,25 October 2024,Easily breaks my grandma didnt liked it,https://www.amazon.in/gp/customer-reviews/R3MIU8Z4Q5QU70/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Vaibhav,
